"General government debt"
" % of GDP, 2023"
"Category","Government gross debt"
"Greece",184.32
"Italy",151.35
"United States",122.61
"France",117.19
"Spain",114.12
"Belgium",108.57
"Portugal",105.78
"Canada",103.7
"United Kingdom",102.36
"Hungary",81.86
"Austria",81.32
"Finland",78.96
"Slovenia",71.56
"Germany",64.01
"Slovak Rep.",62.31
"Poland",61.42
"Latvia",54.38
"New Zealand",53.72
"Australia",53.51
"Netherlands",51.34
"Czechia",50.33
"Norway",49.82
"Ireland",46.64
"Chile",43.23
"Sweden",41.03
"Switzerland",39.34
"Denmark",33.89
"Luxembourg",30.8
"Estonia",28.64
"OECD",
"OECD average country",
